Date,Price,Volume
2022-12-06,18642.75,217777090
2022-12-07,18560.5,200501720
2022-12-08,18609.35,202811256
2022-12-09,18496.6,215839572
2022-12-12,18497.15,193883468
2022-12-13,18608.0,187585567
2022-12-14,18660.3,208030337
2022-12-15,18414.9,183127544
2022-12-16,18269.0,277650193
2022-12-19,18420.45,154847475
2022-12-20,18385.3,169041783
2022-12-21,18199.1,187594274
2022-12-22,18127.35,195699650
2022-12-23,17806.8,221454773
2022-12-26,18014.6,176652342
2022-12-27,18132.3,214257094
2022-12-28,18122.5,193873167
2022-12-29,18191.0,281052828
2022-12-30,18105.3,192005563
2023-01-02,18197.45,256073979
2023-01-03,18232.55,208699772
2023-01-04,18042.95,235162202
2023-01-05,17992.15,269949738
2023-01-06,17859.45,238220578
2023-01-09,18101.2,257237669
2023-01-10,17914.15,283277918
2023-01-11,17895.7,259853294
2023-01-12,17858.2,227769060
2023-01-13,17956.6,256700729
2023-01-16,17894.85,206195816
2023-01-17,18053.3,219055125
2023-01-18,18165.35,255840928
2023-01-19,18107.85,237833991
2023-01-20,18027.65,237225269
2023-01-23,18118.55,202460434
2023-01-24,18118.3,216910302
2023-01-25,17891.95,257227052
2023-01-27,17604.35,476342611
2023-01-30,17648.95,432434028
2023-01-31,17662.15,398338541
2023-02-01,17616.3,512870802
2023-02-02,17610.4,490113567
2023-02-03,17854.05,424123037
2023-02-06,17764.6,282544790
2023-02-07,17721.5,354395693
2023-02-08,17871.7,290994265
2023-02-09,17893.45,260854055
2023-02-10,17856.5,231991834
2023-02-13,17770.9,231276483
2023-02-14,17929.85,244512944
2023-02-15,18015.85,229273800
2023-02-16,18035.85,230246175
2023-02-17,17944.2,208053929
2023-02-20,17844.6,174563233
2023-02-21,17826.7,198248205
2023-02-22,17554.3,204021979
2023-02-23,17511.25,240807918
2023-02-24,17465.8,209406363
2023-02-27,17392.7,246448847
2023-02-28,17303.95,420881259
2023-03-01,17450.9,272881409
2023-03-02,17321.9,310669094
2023-03-03,17594.35,356169518
2023-03-06,17711.45,362801096
2023-03-08,17754.4,267041402
2023-03-09,17589.6,262352056
2023-03-10,17412.9,235927570
2023-03-13,17154.3,254914657
2023-03-14,17043.3,290604200
2023-03-15,16972.15,248188970
2023-03-16,16985.6,349820607
2023-03-17,17100.05,408121255
2023-03-20,16988.4,241777405
2023-03-21,17107.5,246737873
2023-03-22,17151.9,185700457
2023-03-23,17076.9,219171517
2023-03-24,16945.05,228038299
2023-03-27,16985.7,218418670
2023-03-28,16951.7,238840919
2023-03-29,17080.7,345911087
2023-03-31,17359.75,263889033
2023-04-03,17398.05,230170687
2023-04-05,17557.05,248345193
2023-04-06,17599.15,242708337
2023-04-10,17624.05,254819382
2023-04-11,17722.3,304263454
2023-04-12,17812.4,232816318
2023-04-13,17828.0,285764798
2023-04-17,17706.85,357401212
2023-04-18,17660.15,258856690
2023-04-19,17618.75,281463379
2023-04-20,17624.45,215103396
2023-04-21,17624.05,230156645
2023-04-24,17743.4,255740393
2023-04-25,17769.25,297445999
2023-04-26,17813.6,233008677
2023-04-27,17915.05,241434660
2023-04-28,18065.0,290263674
2023-05-02,18147.65,265216308
2023-05-03,18089.85,226171254
2023-05-04,18255.8,226643581
2023-05-05,18069.0,239702311
2023-05-08,18264.4,228399379
2023-05-09,18265.95,245368649
2023-05-10,18315.1,220450874
2023-05-11,18297.0,248932544
2023-05-12,18314.8,241702589
2023-05-15,18398.85,216088535
2023-05-16,18286.5,219490491
2023-05-17,18181.75,229898510
2023-05-18,18129.95,272103515
2023-05-19,18203.4,260898407
2023-05-22,18314.4,262560942
2023-05-23,18348.0,270354216
2023-05-24,18285.4,232621507
2023-05-25,18321.15,235915651
2023-05-26,18499.35,198668359
2023-05-29,18598.65,265323978
2023-05-30,18633.85,234391323
2023-05-31,18534.4,696495765
2023-06-01,18487.75,265630759
2023-06-02,18534.1,270923679
2023-06-05,18593.85,256111496
2023-06-06,18599.0,220789926
2023-06-07,18726.4,260109671
2023-06-08,18634.55,286468927
2023-06-09,18563.4,221760885
2023-06-12,18601.5,179463966
2023-06-13,18716.15,233167883
2023-06-14,18755.9,261354575
2023-06-15,18688.1,263004991
2023-06-16,18826.0,272771256
2023-06-19,18755.45,219815214
2023-06-20,18816.7,211649257
2023-06-21,18856.85,217481345
2023-06-22,18771.25,252697871
2023-06-23,18665.5,210562119
2023-06-26,18691.2,171271325
2023-06-27,18817.4,222464605
2023-06-28,18972.1,398782019
2023-06-30,19189.05,247906587
2023-07-03,19322.55,226050219
2023-07-04,19389.0,226916635
2023-07-05,19398.5,224418797
2023-07-06,19497.3,268261285
2023-07-07,19331.8,237102566
2023-07-10,19355.9,268246132
2023-07-11,19439.4,251263638
2023-07-12,19384.3,327941559
2023-07-13,19413.75,310442517
2023-07-14,19564.5,291165841
2023-07-17,19711.45,268707894
2023-07-18,19749.25,286353897
2023-07-19,19833.15,259660464
2023-07-20,19979.15,274698867
2023-07-21,19745.0,312461795
2023-07-24,19672.35,265562151
2023-07-25,19680.6,369653496
2023-07-26,19778.3,244747425
2023-07-27,19659.9,334891351
2023-07-28,19646.05,258671382
2023-07-31,19753.8,295053318
2023-08-01,19733.55,298048161
2023-08-02,19526.55,290666798
2023-08-03,19381.65,315688612
2023-08-04,19517.0,280799561
2023-08-07,19597.3,216586074
2023-08-08,19570.85,260294052
2023-08-09,19632.55,266495074
2023-08-10,19543.1,312193785
2023-08-11,19428.3,235524048
2023-08-14,19434.55,243850815
2023-08-16,19465.0,226627230
2023-08-17,19365.25,268663456
2023-08-18,19310.15,256142364
2023-08-21,19393.6,262589133
2023-08-22,19396.45,208704354
2023-08-23,19444.0,225214991
2023-08-24,19386.7,268256859
2023-08-25,19265.8,466518217
2023-08-28,19306.05,248178769
2023-08-29,19342.65,307388116
2023-08-30,19347.45,233004568
2023-08-31,19253.8,562557215
2023-09-01,19435.3,372502191
2023-09-04,19528.8,396071122
2023-09-05,19574.9,303958622
2023-09-06,19611.05,512974083
2023-09-07,19727.05,304929822
2023-09-08,19819.95,288093693
2023-09-11,19996.35,248763130
2023-09-12,19993.2,328064239
2023-09-13,20070.0,251394599
2023-09-14,20103.1,275111881
2023-09-15,20192.35,438185104
2023-09-18,20133.3,264870758
2023-09-20,19901.4,378065882
2023-09-21,19742.35,275132260
2023-09-22,19674.25,246410075
2023-09-25,19674.55,188398392
2023-09-26,19664.7,204869058
2023-09-27,19716.45,203559874
2023-09-28,19523.55,352810261
2023-09-29,19638.3,243508919
2023-10-03,19528.75,221719625
2023-10-04,19436.1,277148310
2023-10-05,19545.75,234865323
2023-10-06,19653.5,159051277
2023-10-09,19512.35,165094800
2023-10-10,19689.85,216559447
2023-10-11,19811.35,213729730
2023-10-12,19794.0,217904144
2023-10-13,19751.05,254955979
2023-10-16,19731.75,180964341
2023-10-17,19811.5,185846716
2023-10-18,19671.1,198942937
2023-10-19,19624.7,230312163
2023-10-20,19542.65,198341255
2023-10-23,19281.75,176044288
2023-10-25,19122.15,225291741
2023-10-26,18857.25,300356469
2023-10-27,19047.25,205201044
2023-10-30,19140.9,180132492
2023-10-31,19079.6,206049341
2023-11-01,18989.15,194103279
2023-11-02,19133.25,245595109
